,Postcode,Price,Type,Bedroom2,Bathroom,BuildingArea,YearBuilt,Distance,Suburb,CouncilArea,Regionname,avg_price
0,3067.0,1480000.0,h,2.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
1,3067.0,1035000.0,h,2.0,1.0,79.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
2,3067.0,1465000.0,h,3.0,2.0,150.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
3,3067.0,850000.0,h,3.0,2.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
4,3067.0,1600000.0,h,3.0,1.0,142.0,2014.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
5,3067.0,941000.0,h,2.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
6,3067.0,1876000.0,h,4.0,2.0,210.0,1910.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
7,3067.0,1636000.0,h,2.0,1.0,107.0,1890.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
8,3067.0,300000.0,u,1.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
9,3067.0,1097000.0,h,3.0,1.0,75.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
10,3067.0,700000.0,u,2.0,2.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
11,3067.0,1350000.0,h,3.0,2.0,190.0,2005.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
12,3067.0,750000.0,u,2.0,2.0,94.0,2009.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
13,3067.0,1172500.0,h,2.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
14,3067.0,441000.0,u,1.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
15,3067.0,1310000.0,h,2.0,1.0,97.0,1890.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
16,3067.0,1200000.0,h,3.0,2.0,110.0,1880.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
17,3067.0,1176500.0,h,2.0,1.0,105.0,1890.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
18,3067.0,955000.0,h,3.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
19,3067.0,890000.0,h,2.0,1.0,73.0,1985.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
20,3067.0,1330000.0,h,4.0,2.0,135.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
21,3067.0,900000.0,t,3.0,2.0,,2010.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
22,3067.0,1090000.0,u,3.0,2.0,27.0,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
23,3067.0,500000.0,u,2.0,1.0,60.0,1970.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
24,3067.0,1100000.0,h,2.0,2.0,135.0,2013.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
25,3067.0,1315000.0,h,2.0,1.0,85.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
26,3067.0,426000.0,u,1.0,1.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
27,3067.0,1447500.0,h,3.0,3.0,174.0,2012.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
28,3067.0,457000.0,u,1.0,1.0,50.0,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
29,3067.0,1135000.0,h,2.0,2.0,128.0,1920.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
30,3067.0,1542000.0,h,4.0,3.0,,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
31,3067.0,1290000.0,h,3.0,2.0,18.0,,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
32,3067.0,1290000.0,h,3.0,1.0,124.0,1950.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
33,3067.0,470000.0,u,1.0,1.0,50.0,2013.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
34,3067.0,1180000.0,h,2.0,1.0,91.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
35,3067.0,1195000.0,h,3.0,2.0,128.0,1998.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
36,3067.0,1012500.0,h,2.0,1.0,82.0,1900.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
37,3067.0,1030000.0,h,2.0,1.0,81.0,1930.0,2.5,Abbotsford,Yarra,Northern Metropolitan,130.62403100775194
38,3042.0,840000.0,t,3.0,2.0,225.0,2016.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
39,3042.0,730000.0,h,3.0,2.0,145.0,1965.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
40,3042.0,770000.0,h,3.0,2.0,145.0,1965.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
41,3042.0,603000.0,h,2.0,1.0,84.0,1950.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
42,3042.0,700000.0,t,3.0,2.0,134.0,2009.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
43,3042.0,600000.0,h,2.0,1.0,116.0,1980.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
44,3042.0,500000.0,u,2.0,1.0,86.0,2011.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
45,3042.0,720000.0,h,2.0,1.0,,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
46,3042.0,785000.0,h,3.0,1.0,127.0,,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
47,3042.0,725000.0,h,6.0,3.0,186.0,1980.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
48,3042.0,450000.0,t,2.0,1.0,90.0,2015.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
49,3042.0,515000.0,u,2.0,1.0,73.0,2013.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
50,3042.0,530000.0,u,2.0,1.0,94.0,2012.0,13.5,Airport West,Moonee Valley,Western Metropolitan,81.57142857142857
